# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=1806752973
# chain_id=2
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=/home/kendal/Documents/phd/henrik/ddm_in_stan/fits/temp_chains/chain_data_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b_a.1,b_a.2,b_ndt.1,b_ndt.2,b_w.1,b_w.2,Intercept_sv,b_sv_Intercept
-8733.49,0.666667,0.00390625,1,3,1,11873.2,0.0251275,-0.161224,-0.171175,-0.0835784,0.208922,-0.0236059,-1.95519,0.00757863,-0.228693,-0.00168039,-2.30938,-2.30938
-8733.49,0,7.84723,0,1,1,8739.81,0.0251275,-0.161224,-0.171175,-0.0835784,0.208922,-0.0236059,-1.95519,0.00757863,-0.228693,-0.00168039,-2.30938,-2.30938
-8733.49,0,1.10816,0,1,1,8744.89,0.0251275,-0.161224,-0.171175,-0.0835784,0.208922,-0.0236059,-1.95519,0.00757863,-0.228693,-0.00168039,-2.30938,-2.30938
-8733.49,0,0.0986461,0,1,1,8737.04,0.0251275,-0.161224,-0.171175,-0.0835784,0.208922,-0.0236059,-1.95519,0.00757863,-0.228693,-0.00168039,-2.30938,-2.30938
-7043.05,1,0.00718679,1,1,0,8268.03,0.0223287,-0.164205,-0.0607024,-0.0963476,0.455563,-0.128938,-1.84155,0.00735355,-0.207753,0.0150695,-2.30764,-2.30764
-5794.34,0.5,0.00952276,1,2,1,6892.35,0.0357256,-0.163949,0.179021,-0.0973845,0.229797,-0.144554,-1.73864,0.0264005,-0.169635,0.0263464,-2.31711,-2.31711
-5091.06,0.393242,0.00315011,2,3,0,5796.16,0.0372617,-0.150195,0.249464,-0.106065,0.349269,-0.142461,-1.71249,-0.0100471,-0.161513,0.0369625,-2.31831,-2.31831
-4029.07,0.980595,0.000776937,5,31,0,5088.06,0.0243617,-0.143665,0.514177,-0.141248,0.377425,-0.179238,-1.72134,-6.1087e-05,-0.129495,0.0573906,-2.31501,-2.31501
-4005.36,1,0.00125083,2,3,0,4029.38,0.0236539,-0.143048,0.517001,-0.141632,0.377998,-0.179661,-1.72402,-0.00436256,-0.129789,0.0546649,-2.31574,-2.31574
-3875.89,1,0.00225225,2,3,0,4007.79,0.0202376,-0.13998,0.553441,-0.14093,0.380926,-0.174295,-1.7293,-0.00621652,-0.123102,0.0504019,-2.31736,-2.31736
-3782.44,0.333333,0.00419012,2,3,0,3881.39,0.0158793,-0.143955,0.57895,-0.15382,0.380764,-0.175651,-1.72804,-0.00460628,-0.1239,0.0586781,-2.31597,-2.31597
-3698.69,0.993289,0.000968021,3,7,0,3786.65,0.0157082,-0.137858,0.602726,-0.158309,0.382087,-0.175706,-1.72353,-0.00866056,-0.117011,0.0622047,-2.31473,-2.31473
-1297.68,1,0.00182945,5,31,0,3697.76,-0.034219,-0.104592,1.47528,-0.210017,0.485075,-0.221869,-1.73306,-0.00255817,-0.0928859,0.0921296,-2.30399,-2.30399
-1275.45,1,0.0035577,2,3,0,1300.12,-0.0319699,-0.105067,1.48606,-0.209982,0.489654,-0.221998,-1.73229,-0.00093642,-0.0952571,0.0871267,-2.30189,-2.30189
-1275.45,8.87181e-05,0.00693323,1,2,1,1279.99,-0.0319699,-0.105067,1.48606,-0.209982,0.489654,-0.221998,-1.73229,-0.00093642,-0.0952571,0.0871267,-2.30189,-2.30189
-1242.04,0.989574,0.000608815,4,15,0,1283.31,-0.0296505,-0.105499,1.50387,-0.204222,0.493611,-0.216232,-1.73759,6.27711e-05,-0.0851019,0.0849572,-2.30102,-2.30102
-1227.07,1,0.00116685,3,7,0,1244.6,-0.0319859,-0.10757,1.51071,-0.208346,0.494868,-0.215107,-1.73619,0.000294137,-0.0855721,0.0852967,-2.30055,-2.30055
-1189.31,0.795004,0.00229826,2,3,0,1232.35,-0.0357711,-0.109228,1.52883,-0.219178,0.498813,-0.215899,-1.73459,0.00278374,-0.07901,0.0893957,-2.30229,-2.30229
-603.327,0.972132,0.00241576,4,15,0,1193.02,-0.0655957,-0.0756572,1.8585,-0.241586,0.543325,-0.247324,-1.7404,0.0014779,-0.0829664,0.0744807,-2.29192,-2.29192
-578.264,0.164964,0.00433319,3,7,0,612.927,-0.066618,-0.0870068,1.87537,-0.235229,0.551751,-0.249928,-1.74076,0.00666177,-0.0850004,0.0846725,-2.29308,-2.29308
-564.071,0.980833,0.000695347,4,15,0,584.675,-0.0720014,-0.0888945,1.88619,-0.228653,0.555547,-0.255594,-1.74196,0.00301997,-0.0809706,0.0863048,-2.28977,-2.28977
-549.046,1,0.00128572,3,7,0,567.758,-0.0690515,-0.0856637,1.89602,-0.226196,0.555,-0.252389,-1.73997,0.00873307,-0.0796747,0.0893293,-2.28551,-2.28551
155.301,0.089645,0.00249266,4,26,1,555.974,-0.164434,-0.0736467,2.56576,-0.306252,0.655681,-0.280953,-1.74585,0.0121013,-0.0566514,0.105047,-2.27217,-2.27217
161.771,0.999904,0.000339344,6,63,0,-151.005,-0.174499,-0.0773903,2.57099,-0.318535,0.654067,-0.288271,-1.74808,0.00905582,-0.0523183,0.103217,-2.2817,-2.2817
185.717,0.998601,0.000659141,5,31,0,-153.911,-0.18121,-0.079456,2.61194,-0.342527,0.649975,-0.282873,-1.74678,0.0107543,-0.0308174,0.0682399,-2.28401,-2.28401
235.355,0.981208,0.00126217,5,31,0,-181.233,-0.213231,-0.0409396,2.69845,-0.339874,0.677377,-0.310441,-1.74651,0.0109084,-0.0335873,0.0612354,-2.3004,-2.3004
260.513,0.97524,0.00227659,4,15,0,-230.337,-0.238307,-0.0593404,2.75536,-0.335756,0.67012,-0.291896,-1.75234,0.014513,-0.00958665,0.0876306,-2.3167,-2.3167
273.509,1,0.00399927,3,7,0,-254.912,-0.258233,-0.0601349,2.79374,-0.339821,0.687168,-0.32378,-1.74784,0.0138008,-0.0121189,0.0871695,-2.30627,-2.30627
273.509,2.14507e-07,0.00745746,1,2,1,-266.985,-0.258233,-0.0601349,2.79374,-0.339821,0.687168,-0.32378,-1.74784,0.0138008,-0.0121189,0.0871695,-2.30627,-2.30627
288.955,0.99919,0.000869677,5,31,0,-266.897,-0.282548,-0.0534043,2.82982,-0.358496,0.691563,-0.29041,-1.74686,0.00731218,0.0318843,0.0592877,-2.31122,-2.31122
305.41,0.987495,0.00162219,4,15,0,-283.566,-0.294196,-0.0486179,2.87806,-0.365098,0.691715,-0.318329,-1.75008,0.0187487,0.0348164,0.0713148,-2.32118,-2.32118
306.907,0.989845,0.00290118,4,15,0,-298.359,-0.294677,-0.0488416,2.89282,-0.372383,0.700382,-0.318208,-1.7525,0.014743,0.0442216,0.0661668,-2.31577,-2.31577
306.907,0.02368,0.00517178,1,2,1,-302.985,-0.294677,-0.0488416,2.89282,-0.372383,0.700382,-0.318208,-1.7525,0.014743,0.0442216,0.0661668,-2.31577,-2.31577
314.134,0.99784,0.000690981,7,127,0,-299.677,-0.354522,-0.0679703,2.94703,-0.387728,0.709402,-0.307801,-1.74786,0.0117228,0.00799481,0.0693132,-2.30858,-2.30858
332.462,0.995405,0.00126068,6,63,0,-309.028,-0.291083,0.0375157,3.05028,-0.39261,0.718101,-0.318085,-1.74994,0.0167564,0.0276007,0.0469408,-2.35308,-2.35308
331.906,0.936885,0.00226324,6,63,0,-325.22,-0.389776,0.047236,3.12437,-0.449768,0.738102,-0.329185,-1.75771,0.0193989,0.0772841,0.0436411,-2.50113,-2.50113
332.745,0.765226,0.00345521,5,31,0,-324.682,-0.351814,-0.00567465,3.12334,-0.457533,0.725922,-0.338757,-1.75102,0.0150535,0.0347806,0.0280968,-2.47445,-2.47445
334.459,0.176822,0.00335971,4,31,0,-328.461,-0.303968,0.0119834,3.10033,-0.42722,0.725794,-0.327828,-1.75214,0.0157975,0.0226937,0.060099,-2.46403,-2.46403
341.275,0.975456,0.000720884,9,1023,0,-323.321,-0.310567,0.0524838,3.16972,-0.379282,0.738674,-0.318476,-1.75453,0.0228187,0.0232987,0.0143871,-1.49629,-1.49629
