# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=876692233
# chain_id=4
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=/home/kendal/Documents/phd/henrik/ddm_in_stan/fits/temp_chains/chain_data_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b_a.1,b_a.2,b_ndt.1,b_ndt.2,b_w.1,b_w.2,Intercept_sv,b_sv_Intercept
330.739,0.679643,0.00406304,5,63,0,-324.551,-0.310595,-0.0284205,3.14459,-0.413221,0.74617,-0.327724,-1.75755,0.027153,0.0300447,0.0709062,-2.25472,-2.25472
332.564,0.983115,0.00311859,4,15,0,-327.721,-0.333177,-0.00266627,3.12962,-0.424203,0.732778,-0.32771,-1.74844,0.00546799,0.0254506,0.0603397,-2.24781,-2.24781
335.998,0.166667,0.00548177,2,6,1,-327.457,-0.343387,-0.0049629,3.13284,-0.416581,0.733423,-0.330116,-1.75655,0.0205559,0.0271001,0.0562555,-2.25218,-2.25218
333.909,0.996029,0.00105854,7,127,0,-329.063,-0.323819,0.0248238,3.0719,-0.51355,0.723409,-0.337536,-1.75196,0.0136712,0.0411751,0.0233319,-2.22932,-2.22932
340.644,0.969008,0.00192496,8,287,0,-327.744,-0.374981,0.0280445,3.15032,-0.544821,0.74166,-0.351544,-1.75885,0.0240507,0.0695141,0.0480577,-1.54209,-1.54209
338.768,0.985739,0.003227,6,127,0,-334.705,-0.384888,0.0181133,3.20228,-0.523358,0.751118,-0.347,-1.75722,0.0222253,0.0419344,0.0297253,-1.60359,-1.60359
337.925,0.129988,0.00560589,1,3,1,-335.71,-0.381313,0.0144191,3.19634,-0.528509,0.754744,-0.344383,-1.75699,0.0267549,0.0432777,0.0264413,-1.60328,-1.60328
340.592,0.999718,0.00103544,7,127,0,-333.43,-0.326093,-0.0196384,3.07708,-0.478768,0.725998,-0.329978,-1.75213,0.0122714,0.0265772,0.0815329,-1.51848,-1.51848
339.765,0.944213,0.00186475,5,63,0,-334.675,-0.369633,0.0394273,3.13336,-0.413458,0.735737,-0.317187,-1.75599,0.015582,0.0348112,-0.00555222,-1.5511,-1.5511
342.404,0.427423,0.00288513,4,15,0,-335.17,-0.357837,0.0452074,3.13613,-0.410018,0.735688,-0.33023,-1.75569,0.0226225,0.0403565,-0.00264881,-1.56148,-1.56148
346.831,0.969145,0.00118749,8,383,0,-330.743,-0.374829,0.0711311,3.24389,-0.47614,0.77015,-0.319499,-1.76022,0.0256287,0.0474146,-0.0104769,-0.962526,-0.962526
346.991,0.850567,0.00194971,7,191,0,-338.014,-0.360599,0.0724661,3.35062,-0.54078,0.795538,-0.338474,-1.76726,0.0252196,0.0334094,0.00912893,-0.662747,-0.662747
346.79,0.93415,0.00235871,3,15,0,-339.318,-0.354416,0.0674198,3.35777,-0.54013,0.771719,-0.345135,-1.75108,0.022298,0.0366914,-0.0124057,-0.672376,-0.672376
349.268,0.570582,0.0035037,5,31,0,-344.355,-0.370186,0.0939739,3.3689,-0.573246,0.784596,-0.349592,-1.76437,0.0326341,0.0307699,0.0160465,-0.684883,-0.684883
345.709,0.93486,0.00210404,5,31,0,-340.377,-0.373728,0.105702,3.38251,-0.569823,0.769592,-0.352444,-1.75296,0.0207554,0.0505461,-0.00388782,-0.694286,-0.694286
346.13,0.986418,0.00311396,6,95,0,-338.445,-0.367475,-0.0402536,3.20315,-0.583147,0.759614,-0.363646,-1.74978,0.0117466,0.031447,0.0755591,-0.816204,-0.816204
346.13,0.00581022,0.00519586,1,2,1,-340.633,-0.367475,-0.0402536,3.20315,-0.583147,0.759614,-0.363646,-1.74978,0.0117466,0.031447,0.0755591,-0.816204,-0.816204
