# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=1132348656
# chain_id=1
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=/home/kendal/Documents/phd/henrik/ddm_in_stan/fits/temp_chains/chain_data_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b_a.1,b_a.2,b_ndt.1,b_ndt.2,b_w.1,b_w.2,Intercept_sv,b_sv_Intercept
-7774.11,1,0.00390625,1,1,0,13675.9,-0.142663,-0.159175,0.0403871,-0.497046,0.159207,-0.0427836,-1.81561,-0.0322753,0.325245,0.0114865,-2.30069,-2.30069
-7774.11,0,14.3855,0,1,1,7779.85,-0.142663,-0.159175,0.0403871,-0.497046,0.159207,-0.0427836,-1.81561,-0.0322753,0.325245,0.0114865,-2.30069,-2.30069
-7774.11,0,2.43117,0,1,1,7779.7,-0.142663,-0.159175,0.0403871,-0.497046,0.159207,-0.0427836,-1.81561,-0.0322753,0.325245,0.0114865,-2.30069,-2.30069
-7774.11,0,0.239791,0,1,1,7779.09,-0.142663,-0.159175,0.0403871,-0.497046,0.159207,-0.0427836,-1.81561,-0.0322753,0.325245,0.0114865,-2.30069,-2.30069
-7774.11,0,0.0186273,0,1,1,7777.26,-0.142663,-0.159175,0.0403871,-0.497046,0.159207,-0.0427836,-1.81561,-0.0322753,0.325245,0.0114865,-2.30069,-2.30069
-7209.02,1,0.00130482,2,3,0,7773.39,-0.136842,-0.157426,0.0543254,-0.495651,0.192862,-0.0600418,-1.79695,-0.0371465,0.320789,0.00820685,-2.2979,-2.2979
-5949.12,0.75,0.00189104,2,4,1,7074.69,-0.147085,-0.149516,0.120338,-0.485827,0.311077,-0.108169,-1.71565,-0.0347951,0.286012,0.0138322,-2.2995,-2.2995
-5863.83,0.351449,0.00140395,2,3,0,5931.8,-0.150147,-0.151962,0.124213,-0.483492,0.311971,-0.109008,-1.72484,-0.0287057,0.285632,0.0113494,-2.29996,-2.29996
-3787.6,0.999991,0.000314741,6,63,0,5870.74,-0.216293,-0.12654,0.57585,-0.473029,0.399064,-0.27192,-1.73552,0.0126266,0.0859886,0.0659362,-2.31202,-2.31202
-3757.58,1,0.000562938,4,15,0,3793.6,-0.21716,-0.125671,0.582579,-0.474282,0.400548,-0.267855,-1.73861,0.0132212,0.0842311,0.0626658,-2.31234,-2.31234
-3750.23,1,0.00104529,3,7,0,3761.86,-0.216633,-0.124552,0.583888,-0.476924,0.399927,-0.266807,-1.73818,0.0122322,0.0838251,0.0625556,-2.3119,-2.3119
-3644.01,0.828268,0.0019866,2,3,0,3754.73,-0.22003,-0.119928,0.611785,-0.474854,0.405062,-0.25796,-1.73807,0.0102836,0.0815542,0.0579254,-2.31003,-2.31003
-2444.16,0.839758,0.002228,3,7,0,3649.85,-0.217384,-0.101251,1.00136,-0.480181,0.415364,-0.188983,-1.72826,-0.0164783,0.0199142,0.0475661,-2.29675,-2.29675
-2238.94,1,0.00261935,2,3,0,2450.17,-0.227881,-0.0965446,1.06738,-0.469457,0.433028,-0.209658,-1.73408,0.00309356,0.0163319,0.0646082,-2.29732,-2.29732
-2147.53,0.390942,0.00511317,1,3,1,2240.68,-0.225517,-0.0919096,1.09818,-0.461843,0.443975,-0.218811,-1.7326,9.27872e-05,0.0251866,0.06381,-2.3053,-2.3053
-2119.57,0.953401,0.00151012,3,7,0,2153.15,-0.224256,-0.0884317,1.10871,-0.465743,0.449302,-0.219175,-1.73,-0.00308183,0.0272758,0.0603582,-2.30198,-2.30198
-2047.95,1,0.00257317,2,3,0,2124.77,-0.211286,-0.0849514,1.13541,-0.467666,0.454596,-0.21988,-1.73358,-0.00632645,0.0220907,0.0653673,-2.30419,-2.30419
-1963.73,0.333333,0.00503864,2,3,0,2049.93,-0.203941,-0.0781571,1.16743,-0.461883,0.452599,-0.227113,-1.73338,-0.00350481,0.0270571,0.0710341,-2.30529,-2.30529
-1911.51,0.950626,0.00129931,3,7,0,1974.23,-0.206307,-0.0779122,1.18979,-0.469147,0.458877,-0.22744,-1.73046,-0.0104131,0.0266952,0.071066,-2.2954,-2.2954
-1130.39,1,0.00219559,4,15,0,1913.79,-0.199429,-0.0750422,1.54087,-0.451402,0.496697,-0.261044,-1.74048,0.0102796,0.02285,0.0889167,-2.27761,-2.27761
-1130.39,0.00148096,0.00427159,2,3,0,1137.36,-0.199429,-0.0750422,1.54087,-0.451402,0.496697,-0.261044,-1.74048,0.0102796,0.02285,0.0889167,-2.27761,-2.27761
-1122.26,0.995045,0.000429996,4,15,0,1135.93,-0.200429,-0.0745823,1.54557,-0.451972,0.499639,-0.261753,-1.74234,0.0155322,0.0185761,0.0872247,-2.27627,-2.27627
-960.365,0.997548,0.000829264,4,15,0,1127.63,-0.20013,-0.0668684,1.62966,-0.473625,0.518667,-0.270584,-1.73409,0.00178717,0.0248415,0.0885016,-2.27887,-2.27887
-728.281,1,0.0015951,4,15,0,962.453,-0.208185,-0.0548045,1.76315,-0.477483,0.525895,-0.268661,-1.73848,0.00924096,0.016384,0.0824843,-2.28037,-2.28037
-709.952,0.690401,0.0030585,2,3,0,730.748,-0.208689,-0.0570515,1.7742,-0.479104,0.529008,-0.268044,-1.73954,0.0099544,0.0167264,0.0851489,-2.2812,-2.2812
-587.929,0.974273,0.00239622,3,7,0,715.45,-0.214998,-0.0577703,1.84902,-0.481685,0.544813,-0.271887,-1.742,0.00897951,0.000747798,0.0850055,-2.30027,-2.30027
-587.929,0.110736,0.00421493,2,3,0,592.567,-0.214998,-0.0577703,1.84902,-0.481685,0.544813,-0.271887,-1.742,0.00897951,0.000747798,0.0850055,-2.30027,-2.30027
-569.726,0.996878,0.000649649,4,15,0,591.518,-0.219322,-0.0592323,1.86056,-0.480338,0.548853,-0.277573,-1.74155,0.00405621,0.00359057,0.086471,-2.3043,-2.3043
-561.206,0.997068,0.0012195,3,7,0,573.137,-0.220689,-0.0604205,1.86611,-0.482724,0.552091,-0.277453,-1.7392,0.00361627,0.00752892,0.0867131,-2.30555,-2.30555
-538.249,0.616883,0.00226668,3,7,0,567.622,-0.220651,-0.0669546,1.88171,-0.474777,0.551137,-0.275261,-1.73836,0.00454894,0.00553844,0.0862435,-2.29849,-2.29849
-512.831,0.998724,0.00147219,3,7,0,543.303,-0.224733,-0.0701044,1.90037,-0.480914,0.548513,-0.276367,-1.74145,0.00591446,0.0117443,0.0884326,-2.29328,-2.29328
